0,1,2,mse,ssim,lpips
coinsinfountain.bmp,img123.bmp,2.5103880000000003,59.83398844401042,0.6365708810292465,0.28564566373825073
coinsinfountain.bmp,img19.bmp,1.708303,50.20189819335938,0.7398896211636785,0.20971474051475525
coinsinfountain.bmp,img22.bmp,1.45049,46.021083577473966,0.7827857963517951,0.17667846381664276
coinsinfountain.bmp,img101.bmp,0.8489260000000001,31.37470906575521,0.9058391276386693,0.08580238372087479
coinsinfountain.bmp,img32.bmp,0.562467,16.20815938313802,0.9718166587210736,0.028054658323526382
ocean.bmp,img117.bmp,5.833312,54.04670715332031,0.5448147120857815,0.2123098075389862
ocean.bmp,img57.bmp,1.479136,35.44921451144748,0.7467723727930728,0.14624810218811035
ocean.bmp,img119.bmp,1.078093,30.121708340115017,0.8228723145978343,0.11365652829408646
parrots.bmp,img154.bmp,0.0,0.0,1.0,0.0
ocean.bmp,img106.bmp,0.7916340000000001,23.05929904513889,0.8959587921810698,0.08112186938524246
ocean.bmp,img92.bmp,0.562467,12.898326449924044,0.9638137864211379,0.03849934786558151
statue.bmp,img120.bmp,3.999975,49.800518904320995,0.6276426104786409,0.32202598452568054
statue.bmp,img54.bmp,2.1666380000000003,36.90272280092593,0.7581028111439876,0.2634207010269165
statue.bmp,img131.bmp,1.822887,33.2684587191358,0.7945890948343779,0.23799824714660645
statue.bmp,img77.bmp,1.307261,26.84986882716049,0.8578445556938967,0.18410618603229523
statue.bmp,img98.bmp,0.8489260000000001,18.514778163580246,0.9260840036088056,0.1079493910074234
dancers.bmp,img41.bmp,2.1666380000000003,65.84263486144152,0.570560012207959,0.3156857490539551
dancers.bmp,img128.bmp,1.479136,57.53908499253449,0.6956779591207829,0.2596716284751892
dancers.bmp,img93.bmp,0.96351,47.04586705911209,0.8293969026467819,0.17793887853622437
dancers.bmp,img21.bmp,0.906218,45.54455732013116,0.8467111925855351,0.16367556154727936
dancers.bmp,img51.bmp,0.562467,29.506832074793238,0.9594300283795582,0.04926792532205582
paintedhouse.bmp,img116.bmp,7.66665,79.32498338487413,0.4073625551178392,0.3560890555381775
paintedhouse.bmp,img81.bmp,1.421844,45.96819051106772,0.7312694929042928,0.2051427960395813
paintedhouse.bmp,img110.bmp,1.249969,43.260288662380646,0.768916427017038,0.18576925992965698
paintedhouse.bmp,img39.bmp,0.949187,36.3613510131836,0.846433636026147,0.13760662078857422
paintedhouse.bmp,img23.bmp,0.562467,18.75170644124349,0.9621043718470342,0.043692946434020996
stream.bmp,img58.bmp,3.0833060000000003,82.5702141655816,0.3196424292029976,0.36159059405326843
stream.bmp,img50.bmp,1.020802,64.27715979682074,0.7051580289031693,0.21569617092609406
stream.bmp,img126.bmp,0.8346030000000001,58.34186893039279,0.7891587762678441,0.182342067360878
stream.bmp,img18.bmp,0.762988,54.2059343126085,0.8247603879941844,0.16822494566440582
stream.bmp,img71.bmp,0.419238,10.754802280002169,0.9912151090046768,0.016795499250292778
lighthouse.bmp,img164.bmp,0.0,0.0,1.0,0.0
bikes.bmp,img40.bmp,2.624972,75.00613996717665,0.4938879489654486,0.4021008014678955
bikes.bmp,img26.bmp,1.307261,56.93292999267578,0.7449393017126541,0.2417755424976349
bikes.bmp,img129.bmp,0.96351,47.38020663791232,0.8443327470141222,0.1629248559474945
bikes.bmp,img112.bmp,0.906218,45.06946563720703,0.861831426614217,0.1470009982585907
bikes.bmp,img60.bmp,0.6197590000000001,30.552113003200954,0.9486619697380928,0.06055673956871033
flowersonih35.bmp,img107.bmp,2.624972,72.94249572753907,0.4761846432379808,0.2967478334903717
flowersonih35.bmp,img85.bmp,1.135385,61.041769409179686,0.7621625094530037,0.205222949385643
flowersonih35.bmp,img65.bmp,0.8918950000000001,56.409994506835936,0.8415385245207329,0.1508692055940628
flowersonih35.bmp,img87.bmp,0.762988,52.5700439453125,0.8873029491668075,0.11953110992908478
flowersonih35.bmp,img90.bmp,0.447884,19.698072306315105,0.9905816769644208,0.018465008586645126
sailing4.bmp,img174.bmp,0.0,0.0,1.0,0.0
parrots.bmp,img69.bmp,7.66665,47.052881876627595,0.7486773607461404,0.2487267255783081
parrots.bmp,img105.bmp,3.999975,30.34425438774957,0.8066408425751405,0.20245908200740814
sailing3.bmp,img171.bmp,0.0,0.0,1.0,0.0
parrots.bmp,img31.bmp,2.1666380000000003,20.416605631510414,0.8700479131384443,0.15642409026622772
parrots.bmp,img56.bmp,1.249969,13.831000434027779,0.9263015245977056,0.10051105171442032
lighthouse2.bmp,img167.bmp,0.0,0.0,1.0,0.0
parrots.bmp,img12.bmp,0.7916340000000001,8.69183349609375,0.963679919877218,0.04884035885334015
studentsculpture.bmp,img100.bmp,1.651011,77.31769227555667,0.5932354995170348,0.18874213099479675
studentsculpture.bmp,img38.bmp,1.364552,72.68576158248736,0.6779387195138865,0.16863149404525757
rapids.bmp,img161.bmp,0.0,0.0,1.0,0.0
studentsculpture.bmp,img20.bmp,1.020802,64.33393282366211,0.7966276603814398,0.12274657934904099
studentsculpture.bmp,img44.bmp,0.6770510000000001,47.39451267911601,0.9219173580417764,0.0481395423412323
studentsculpture.bmp,img108.bmp,0.533821,31.127685173580648,0.9699943108907836,0.021058980375528336
woman.bmp,img158.bmp,0.0,0.0,1.0,0.0
coinsinfountain.bmp,img146.bmp,0.0,0.0,1.0,0.0
building2.bmp,img25.bmp,2.052054,85.37301839192709,0.4817714645556512,0.3064178228378296
building2.bmp,img80.bmp,1.164031,72.4242167154948,0.7220802723398162,0.21137899160385132
